CENSO DA EDUCAÇÃO SUPERIOR 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEIAUTE DE MIGRAÇÃO – ARQUIVO ALUNO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Campo;Tamanho;"Fixo/
Variável";Tipo;Inteiro/Decimal;Preenchimento ;1ª Etapa de Validação;2ª Etapa de Validação;;;;;;;;;;;;;;;;;;;;
44;"Tipo de apoio social
- Material didático";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Apoio Social, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver apoio social""

Se o campo Apoio Social for informado com o valor ""1-Sim"" e
este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para quando houver apoio social"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de apoio social for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
45;"Tipo de apoio social
- Bolsa trabalho";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Apoio Social, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver apoio social""

Se o campo Apoio Social for informado com o valor ""1-Sim"" e
este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para quando houver apoio social"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de apoio social for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
46;"Tipo de apoio social
- Bolsa permanência";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Apoio Social, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver apoio social""

Se o campo Apoio Social for informado com o valor ""1-Sim"" e
este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para quando houver apoio social"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de apoio social for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
47;Atividade extracurricular;1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se Atividade extracurricular for informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1"".

Se nenhum tipo de atividade extracurricular for informado com valor ""Sim"" e se informado ""Sim"" em Atividade Extracurricular, deverá aparecer mensagem. ""É obrigatório selecionar pelo menos um dos tipos quando houver atividade extracurricular"".";;;;;;;;;;;;;;;;;;;;;
48;"Atividade extracurricular
- Pesquisa";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Atividade extracurricular, deverá apresentar mensagem. ""Preenchimento exclusivo para quando houver atividade extracurricular"".

Se este não for informado e informado a opção ""1-Sim"" na Atividade extracurricular, deverá ser aparesentada a mensagem: ""Preenchimento obrigatório para quando houver atividade extracurricular"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";;;;;;;;;;;;;;;;;;;;;
49;"Bolsa/remuneração referente à atividade extracurricular
- Pesquisa";1;Fixo;Numérico;Inteiro;Condicional;"Se informado a opção ""1-Sim em uma das opções do Tipo de atividade extracurricular e não for informado a Bolsa/remuneração referente à atividade extracurricular, deverá ser apresentada a mensagem: ""Preenchimento obrigatório para quando houver tipo de atividade extracurricular correspondente"".

Se informado ""1-Sim"" para Bolsa/remuneração referente à atividade extracurricular- Pesquisa e informada a opção ""0 - Não"" no campo Tipo de Atividade extracurricular - Pesquisa, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver tipo de atividade extracurricular correspondente"".

- Valores válidos:
0 - Não
1 - Sim
Se a Bolsa/remuneração referente à atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";"



";;;;;;;;;;;;;;;;;;;;
50;"Atividade extracurricular
- Extensão";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Atividade extracurricular, deverá apresentar mensagem. ""Preenchimento obrigatório e exclusivo para quando houver atividade extracurricular"".

Se este não for informado e informado a opção ""1-Sim"" na Atividade extracurricular, deverá ser aparesentada a mensagem: ""Preenchimento obrigatório e exclusivo para quando houver atividade extracurricular"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";;;;;;;;;;;;;;;;;;;;;
51;"Bolsa/remuneração referente à atividade extracurricular
- Extensão";1;Fixo;Numérico;Inteiro;Condicional;"Se informado a opção ""1-Sim em uma das opções do Tipo de atividade extracurricular e não for informado a Bolsa/remuneração referente à atividade extracurricular, deverá ser apresentada a mensagem: ""Preenchimento obrigatório para quando houver tipo de atividade extracurricular correspondente"".

Se informado ""1-Sim"" para Bolsa/remuneração referente à atividade extracurricular- Extensão e informada a opção ""0 - Não"" no campo Tipo de Atividade extracurricular - Extensão, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver tipo de atividade extracurricular correspondente"".

- Valores válidos:
0 - Não
1 - Sim
Se a Bolsa/remuneração referente à atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";;;;;;;;;;;;;;;;;;;;;
52;"Atividade extracurricular
- Monitoria";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Atividade extracurricular, deverá apresentar mensagem. ""Preenchimento exclusivo para quando houver atividade extracurricular"".

Se este não for informado e informado a opção ""1-Sim"" na Atividade extracurricular, deverá ser aparesentada a mensagem: ""Preenchimento obrigatório para quando houver atividade extracurricular"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";;;;;;;;;;;;;;;;;;;;;
53;"Bolsa/remuneração referente à atividade extracurricular
- Monitoria";1;Fixo;Numérico;Inteiro;Condicional;"Se informado a opção ""1-Sim em uma das opções do Tipo de atividade extracurricular e não for informado a Bolsa/remuneração referente à atividade extracurricular, deverá ser apresentada a mensagem: ""Preenchimento obrigatório para quando houver tipo de atividade extracurricular correspondente"".

Se informado ""1-Sim"" para Bolsa/remuneração referente à atividade extracurricular- Monitoria e informada a opção ""0 - Não"" no campo Tipo de Atividade extracurricular - Monitoria, deverá apresentar a mensagem: ""Preenchimento exclusivo  para quando houver tipo de atividade extracurricular correspondente"".

- Valores válidos:
0 - Não
1 - Sim
Se a Bolsa/remuneração referente à atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";;;;;;;;;;;;;;;;;;;;;
54;"Atividade extracurricular
- Estágio não obrigatório";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Atividade extracurricular, deverá apresentar mensagem. ""Preenchimento exclusivo para quando houver atividade extracurricular"".

Se este não for informado e informado a opção ""1-Sim"" na Atividade extracurricular, deverá ser aparesentada a mensagem: ""Preenchimento obrigatório para quando houver atividade extracurricular"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";;;;;;;;;;;;;;;;;;;;;
55;"Bolsa/remuneração referente à atividade extracurricular
- Estágio não obrigatório";1;Fixo;Numérico;Inteiro;Condicional;"Se informado a opção ""1-Sim em uma das opções do Tipo de atividade extracurricular e não for informado a Bolsa/remuneração referente à atividade extracurricular, deverá ser apresentada a mensagem: ""Preenchimento obrigatório para quando houver tipo de atividade extracurricular correspondente"".

Se informado ""1-Sim"" para Bolsa/remuneração referente à atividade extracurricular- Estágio não obrigatório e informada a opção ""0 - Não"" no campo Tipo de Atividade extracurricular - Estágio não obrigatório, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver tipo de atividade extracurricular correspondente"".

- Valores válidos:
0 - Não
1 - Sim
Se a Bolsa/remuneração referente à atividade extracurricular for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".";;;;;;;;;;;;;;;;;;;;;
56;Carga horária total do curso por aluno;5;Variável;Numérico;Inteiro;Obrigatório;Se o valor preenchido for maior que 15000 horas para qualquer curso, o sistema deve apresentar mensagem de erro: “Preencher com número inferior a 15000 horas-relógio”.;"Se o valor preenchido for menor que 1000 horas para cursos com grau acadêmico igual a “Bacharelado”, o sistema deve apresentar mensagem de erro: “O valor informado no campo carga horária total do curso por aluno deve ser igual ou maior que 1000 horas-relógio para cursos com grau acadêmico igual a Bacharelado”.

Se o valor preenchido for menor que 500 horas para cursos com grau acadêmico igual a “Licenciatura” ou nível acadêmico igual a “Sequencial”, o sistema deve apresentar mensagem de erro: “O valor informado no campo carga horária total do curso por aluno deve ser igual ou maior que 500 horas-relógio para cursos com grau acadêmico igual a (Licenciatura ou Sequencial)”.

Se o valor preenchido for menor que 800 horas para cursos com grau acadêmico igual a “Tecnológico”, o sistema deve apresentar mensagem de erro: “O valor informado no campo carga horária total do curso por aluno deve ser igual ou maior que 800 horas-relógio para cursos com grau acadêmico igual a Tecnológico”.

";;;;;;;;;;;;;;;;;;;;
57;Carga horária integralizada pelo aluno;5;Variável;Numérico;Inteiro;Obrigatório;"Se o valor preenchido for maior que 15.000 horas para qualquer curso, o sistema deve apresentar mensagem de erro: “Preencher com número inferior a 15000 horas-relógio"".


Se o valor preenchido for menor que o informado para o aluno no campo “Carga horária total do curso por aluno” para alunos com situação igual a “Formado”, o sistema deve apresentar mensagem de erro: “A carga horária integralizada pelo aluno deve ser maior ou igual à carga horária total do curso por aluno para alunos com situação igual a 'Formado'”.";"Se o aluno se transferir de um curso ABI (área básica) para um curso vinculado a essa ABI, a ""carga horária integralizada"" do curso destino (curso vinculado) deverá ser maior ou igual ao valor informado no curso ABI (área básica) . O sistema deve apresentar mensagem de erro: “A carga horária integralizada pelo aluno deve ser maior ou igual ao informado no curso ABI”.

Se a forma de ingresso/seleção do aluno for igual a ""Egresso BI/LI"", o valor informado em ""Carga horária integralizada pelo aluno"" deve ser maior que 0. O sistema deve apresentar mnesagem de erro: “Para 'Egressos de BI/LI' a carga horária integralizada deve ser maior que 0”.";;;;;;;;;;;;;;;;;;;;
58;Ingressou por política de ação afirmativa ou por programa diferenciado de destinação de vagas?;1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se o campo  ""Ingressou por política de ação afirmativa ou por programa diferenciado de destinação de vagas?"" for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (0,1)""

Se nenhum Tipo de Ação Afirmativa for informado com valor ""1-Sim"" e se informado ""1-Sim"" neste campo, deverá aparecer a mensagem: ""É obrigatório selecionar pelo menos um dos tipos quando for informado que possui açãos afirmativas""";;;;;;;;;;;;;;;;;;;;;
59;Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Ingressou por política de ação afirmativa ou por programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado sim no campo Ingressou por política de ação afirmativa ou por programa diferenciado de destinação de vagas?""

Se o campo Ingressou por política de ação afirmativa ou por programa diferenciado de destinação de vagas? for informado com o valor ""1-Sim"" e
este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para quando for informado '1-Sim' no campo ""Ingressou por política de ação afirmativa ou por programa diferenciado de destinação de vagas?.""

- Valores válidos:
1 - Reserva de Vaga - Lei de Cotas (Lei nº 12.711 de 2012 e Lei nº 14.723 de 2023)
2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas
3 - Bonificação ou critérios diferenciados de pontuação em processo seletivo
Se o Tipo de política de ação afirmativa for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),1,2,3""";"Se informada a opção '1 - Reserva de Vaga - Lei de Cotas (Lei nº 12.711 de 2012 e Lei nº 14.723 de 2023)' e a IES não for uma Instituição pública federal, deverá apresentar a mensagem: ""A opção ""Lei de Cotas"" não pode ser selecionada caso a IES não seja uma instituição pública federal.""";;;;;;;;;;;;;;;;;;;;
60;Tipo de Ação Afirmativa - Lei de Cotas (Lei nº 12.711 de 2012 e Lei nº 14.723 de 2023);1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""1 - Reserva de Vaga - Lei de Cotas (Lei nº 12.711 de 2012 e Lei nº 14.723 de 2023)"" no campo tipo de política de ação afirmativa, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver infromado o campo Ingresso por política de ação afirmativa Reserva de Vaga - Lei de Cotas (Lei nº 12.711 de 2012 e Lei nº 14.723 de 2023)""

Se o campo Reserva de Vaga - Lei de Cotas (Lei nº 12.711 de 2012 e Lei nº 14.723 de 2023) for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
1 - Aluno autodeclarado preto, pardo ou indígena, com renda familiar per capita igual ou inferior a 1 salário mínimo
e que tenha cursado integralmente o ensino médio em escolas públicas
2 - Aluno autodeclarado quilombola, com renda familiar per capita igual ou inferior a 1 salário mínimo e que tenha
cursado integralmente o ensino médio em escolas públicas.
3 - Aluno com deficiência, que tenha renda familiar per capita igual ou inferior a 1 salário mínimo e que tenha
cursado integralmente o ensino médio em escolas públicas.
4 - Aluno com renda familiar per capita igual ou inferior a 1 salário mínimo que tenha cursado integralmente o
ensino médio em escolas públicas.
5 - Aluno autodeclarado preto, pardo ou indígena, independentemente da renda, que tenha cursado integralmente
o ensino médio em escolas públicas.
6 - Aluno autodeclarado quilombola, independentemente da renda, que tenha cursado integralmente o ensino
médio em escolas públicas.
7 - Aluno com deficiência, independentemente da renda, que tenha cursado integralmente o ensino médio em
escolas públicas.
8 - Aluno que, independentemente da renda, tenha cursado integralmente o ensino médio em escolas públicas.

Se este for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),1,2,3,4,5,6,7,8""";"Para as opções 1, 2, 3, 4, 5, 6, 7 e 8 é obrigatório ter preenchido o campo  Tipo de escola que concluiu o Ensino Médio com a opção escola pública '1 - Escola Pública'.

Para as opções 1 e 5 é obrigatório ter preenchido no campo cor/raça com uma das opções ""2 -Preto"", ""3 - Pardo"" ou ""5 - Indígena"".

Para as opções 3 e 7 é obrigatório ter preenchido no campo Aluno com Deficiência, Transtorno do espectro autista (TEA), altas habilidades ou superdotação como ""1 - Sim"", exceto a marcação exclusiva da opção ""Tipo de deficiência - Altas habilidades ou superdotação"". 

Se qualquer uma das opções for informada e a IES não for uma instituição pública federal, deverá apresentar a mensagem:
A opção ""Lei de Cotas"" não pode ser selecionada caso a IES não seja uma instituição pública federal.";;;;;;;;;;;;;;;;;;;;
61;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Preto, Pardo e Indígena (PPI);1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";"Obrigatório ter preenchido no campo cor/raça com uma das opções ""2 -Preto"", ""3 - Pardo"" ou ""5 - Indígena"".";;;;;;;;;;;;;;;;;;;;
62;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Renda;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
63;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Pessoa com deficiência;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";"Obrigatório ter preenchido no campo Aluno com Deficiência, Transtorno do espectro autista (TEA), altas habilidades ou superdotação como ""1 - Sim"", exceto a marcação exclusiva da opção ""Tipo de deficiência - Altas habilidades ou superdotação"". ";;;;;;;;;;;;;;;;;;;;
64;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Estudante procedente de escola pública;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";"Obrigatório ter preenchido o campo  Tipo de escola que concluiu o Ensino Médio com a opção escola pública '1 - Escola Pública'.

";;;;;;;;;;;;;;;;;;;;
65;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Quilombola;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
66;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Estudante transgênero e/ou travesti;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
67;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Estudante internacional;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";"Obrigatório ter preenchido o campo Nacionalidade com a opção ""3 - Estrangeira"".
";;;;;;;;;;;;;;;;;;;;
68;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Refugiado, Apátrida ou Portador de visto humanitário;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
69;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Idoso;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
70;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Estudante pertencente a povos e comunidades tradicionais;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
71;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Medalhista em olimpíadas científicas e competições de conhecimento;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
72;Outras reservas de vagas OU Programa diferenciado de destinação de vagas - Outros tipos de reserva de vagas;1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e não informada a opção ""2 -  Outras reservas de vagas OU Programa diferenciado de destinação de vagas"" no campo Tipo de política de ação afirmativa ou programa diferenciado de destinação de vagas?, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver informado o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas""

Se o campo Outras reservas de vagas OU Programa diferenciado de destinação de vagas for informado e este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório"".

- Valores válidos:
0 - Não
1 - Sim
Se este campo for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
73;Justificativa;2;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
1 - O aluno reingressou no mesmo curso.
2 - O aluno reingressou no mesmo curso e o semestre de ingresso foi informado incorretamente no Censo anterior.
3 - Situação do vínculo do aluno informada errada no Censo anterior.
4 - Situação do vínculo e semestre de ingresso informados incorretamente no Censo anterior.
5 - Curso ou local de oferta não carregado para o Censo anterior.
6 - Curso em que o aluno estava vinculado não existe no Censo atual.
7 - A IES não vinculou o aluno no Censo anterior.
8 - Semestre de ingresso informado errado no Censo anterior.
9 - Situação de vínculo informada errada, aluno formado no curso BI/LI correspondente no Censo Anterior
10 - Aluno não informado no curso BI/LI correspondente no Censo Anterior.
11 - Aluno concluiu o curso BI/LI correspondente até o ano de <ano censo atual -2>.
12 - O aluno reingressou no mesmo curso. Situação de vínculo e semestre de ingresso informados errados no Censo anterior.";Verificar o Manual de Aluno na seção 1.3 - Justificar Aluno do Censo Anterior, nos quadros 2 a 4.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
